"GHO","GBDCHILDCAUSES","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","MGHEREG","Display Value","Numeric","Low","High","Comments"
"MORT_100","CH6","PUBLISHED","2009","AMR","BRB","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2008","AMR","KNA","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2003","WPR","SGP","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2010","EMR","MAR","YEARS0-4","BTSX","","0","0.00619","","",""
"MORT_200","CH6","PUBLISHED","2012","AFR","RWA","YEARS0-4","BTSX","","0.3","0.28530","","",""
"MORT_200","CH6","PUBLISHED","2004","EUR","AZE","YEARS0-4","BTSX","","0.2","0.18811","","",""
"MORT_200","CH6","PUBLISHED","2008","EUR","LTU","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2002","AFR","NER","MONTHS1-59","BTSX","","8740","8740.09000","","",""
"MORT_300","CH6","PUBLISHED","2007","SEAR","MMR","MONTHS1-59","BTSX","","12.6","12.57818","","",""
"MORT_300","CH6","PUBLISHED","2007","EMR","QAT","MONTHS1-59","BTSX","","2.3","2.31313","","",""
"MORT_300","CH6","PUBLISHED","2005","","","MONTHS1-59","BTSX","REG7_AMR","0.0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2006","AMR","VEN","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2000","EMR","SDN","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2006","EUR","AND","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2004","AMR","GUY","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2004","","","DAYS0-27","BTSX","REG7_EMR","0.0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2010","EMR","IRQ","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2012","WPR","MYS","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2005","WPR","TON","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_200","CH6","PUBLISHED","2009","EUR","PRT","MONTHS1-59","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2012","AFR","NER","YEARS0-4","BTSX","","0.4","0.44280","","",""
"MORT_100","CH6","PUBLISHED","2003","EMR","OMN","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2004","AMR","TTO","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2010","EUR","PRT","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_300","CH6","PUBLISHED","2010","AMR","PER","YEARS0-4","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2005","AFR","MWI","DAYS0-27","BTSX","","0","0.00000","","",""
"MORT_100","CH6","PUBLISHED","2006","","","MONTHS1-59","BTSX","UNICEF_WCARO","39744","39743.58000","","",""
"MORT_100","CH6","PUBLISHED","2000","","","MONTHS1-59","BTSX","WBINC_UMINC","8030","8029.68700","","",""
"MORT_200","CH6","PUBLISHED","2013","WPR","FSM","YEARS0-4","BTSX","","0.1","0.13534","","",""
"MORT_100","CH6","PUBLISHED","2013","AFR","SYC","DAYS0-27","BTSX","","0","0.00000","","",""
