iso_code,country,vaxspending1998,vaxspending1999,vaxspending2000,vaxspending2001,vaxspending2002,vaxspending2003,vaxspending2004,vaxspending2005,vaxspending2006,vaxspending2007,vaxspending2008,vaxspending2009,vaxspending2010,vaxspending2011,vaxspending2012,vaxspending2013,vaxspending2014
NRU,Nauru,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%
NPL,Nepal,59%,55%,60%,80%,29%,100%,65%,32%,18%,29%,43%,16%,39%,20%,45%,36%,29%
NLD,The Netherlands,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
NZL,New Zealand,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
NIC,Nicaragua,73%,96%,73%,55%,90%,95%,40%,100%,83%,49%,65%,56%,41%,10%,19%,60%,67%
NER,Niger,100%,100%,33%,33%,23%,100%,100%,100%,19%,45%,72%,29%,14%,14%,22%,38%,44%
NGA,Nigeria,100%,100%,100%,100%,100%,100%,100%,100%,100%,95%,90%,74%,71%,,,55%,41%
NIU,Niue,100%,100%,100%,100%,100%,100%,100%,100%,100%,,100%,64%,100%,100%,100%,100%,100%
NOR,Norway,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
OMN,Oman,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,100%,100%,,,
PAK,Pakistan,100%,100%,100%,100%,100%,100%,100%,100%,100%,31%,100%,80%,100%,,23%,11%,
PLW,Palau,10%,0%,5%,95%,95%,100%,100%,100%,100%,,,,,,,,
PAN,Panama,74%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PNG,Papa New Guinea,100%,0%,100%,100%,100%,80%,100%,100%,100%,100%,100%,61%,59%,45%,81%,62%,36%
PRY,Paraguay,89%,100%,100%,100%,100%,98%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PER,Peru,99%,96%,96%,99%,99%,98%,100%,96%,96%,100%,100%,100%,100%,100%,100%,100%,100%
PHL,Philippines,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,83%,100%,100%
POL,Poland,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PRT,Portugal,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
QAT,Qatar,100%,100%,100%,100%,100%,100%,100%,100%,100%,8%,,95%,100%,,100%,100%,
KOR,Republic of Korea,40%,40%,40%,100%,100%,100%,100%,100%,,,,48%,48%,,,,100%
MDA,Republic of Moldova,29%,0%,25%,26%,35%,47%,47%,78%,84%,94%,56%,54%,58%,66%,53%,62%,66%
ROU,Romania,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RUS,Russia,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RWA,Rwanda,0%,0%,20%,0%,10%,34%,6%,30%,28%,24%,25%,25%,25%,11%,8%,13%,10%
KNA,Saint Kitts and Nevis,95%,95%,95%,97%,96%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
LCA,Saint Lucia,100%,100%,100%,100%,100%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,64%,100%
VCT,Saint Vincent and The Grenadines,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
WSM,Samoa,100%,100%,100%,100%,100%,70%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
SMR,San Marino,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,
STP,Sao Tome and Principe,0%,0%,0%,0%,0%,13%,10%,5%,,50%,46%,25%,6%,15%,8%,6%,8%
SAU,Saudi Arabia,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,,
SEN,Senegal,100%,100%,100%,100%,100%,40%,70%,50%,37%,31%,100%,17%,100%,32%,27%,27%,11%
SRB,Serbia,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
SYC,Seychelles,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,60%,47%,100%
SLE,Sierra Leone,3%,0%,0%,0%,10%,20%,0%,0%,,,2%,,2%,2%,5%,6%,7%
