YEAR,COUNTRY,AGEGROUP,SEX,Display Value
1990,IRN,AGE40-44,FMLE,0.004571
1990,VUT,AGELT1,FMLE,0.026372
2000,LAO,AGE60-64,MLE,0.028
1990,IRQ,AGE25-29,MLE,0.001224
1990,NIC,AGE50-54,MLE,0.006409
1990,KGZ,AGELT1,MLE,0.067
1990,TUN,AGE85-89,MLE,0.196655
2013,CRI,AGE70-74,MLE,0.026524
2000,SYC,AGE20-24,FMLE,0.000483
2013,CHE,AGE10-14,FMLE,0.000061
2000,CHE,AGE1-4,FMLE,0.000202
2000,MHL,AGE85-89,MLE,0.232
2000,HRV,AGE1-4,MLE,0.000354
2013,POL,AGE45-49,FMLE,0.002179
2012,SLV,AGE55-59,MLE,0.014348
1990,TUN,AGE25-29,MLE,0.001
1990,CRI,AGE75-79,FMLE,0.043388
1990,KNA,AGE65-69,FMLE,0.02
2012,KGZ,AGE95-99,MLE,0.373914
2013,SEN,AGE90-94,MLE,0.419763
1990,PNG,AGE25-29,FMLE,0.004612
2000,,AGE30-34,MLE,0.0035
2012,SVK,AGE70-74,MLE,0.04616
2000,GHA,AGE75-79,FMLE,0.079384
1990,TUN,AGE50-54,MLE,0.006505
2000,HUN,AGE60-64,FMLE,0.01223
2000,LBR,AGE60-64,MLE,0.033695
2012,KAZ,AGE90-94,MLE,0.34135
2012,PRT,AGE55-59,FMLE,0.003099
1990,LCA,AGE95-99,FMLE,0.240268
1990,VNM,AGE85-89,MLE,0.158295
2012,GHA,AGE95-99,MLE,0.633895
2000,SVN,AGE20-24,FMLE,0.000301
2013,UKR,AGE100PLUS,FMLE,0.485231
1990,FSM,AGE100PLUS,MLE,0.615657
2000,,AGE10-14,FMLE,0.000404
2000,OMN,AGE1-4,MLE,0.000668
1990,TCD,AGE100PLUS,FMLE,0.634976
2013,,AGE40-44,FMLE,0.001425
2012,ZMB,AGE55-59,MLE,0.019055
2013,,AGE35-39,BTSX,0.005412
1990,FIN,AGE50-54,FMLE,0.003393
1990,ECU,AGE65-69,MLE,0.029
2013,PLW,AGE70-74,FMLE,0.037222
2000,SEN,AGE15-19,MLE,0.003
2013,HRV,AGE90-94,MLE,0.210844
2013,BRA,AGE90-94,FMLE,0.132058
2013,HUN,AGE15-19,MLE,0.000458
2000,PRT,AGE65-69,MLE,0.023791
2000,SSD,AGE45-49,FMLE,0.012
2012,TCD,AGE90-94,MLE,0.405289
2000,MNG,AGE90-94,FMLE,0.38197
2012,BFA,AGE90-94,FMLE,0.40785
2000,AFG,AGE25-29,MLE,0.005101
2000,SVN,AGE55-59,FMLE,0.004904
2000,AZE,AGE25-29,MLE,0.002
1990,GHA,AGE35-39,MLE,0.006
1990,SVK,AGE45-49,FMLE,0.003164
1990,,AGELT1,BTSX,0.034704
2000,,AGE35-39,MLE,0.002161
2000,BRA,AGE1-4,FMLE,0.000925
1990,AFG,AGE100PLUS,MLE,0.590956
2012,FIN,AGE5-9,MLE,0.000079
1990,SVN,AGE85-89,FMLE,0.172339
2013,TCD,AGE15-19,MLE,0.003671
2000,KEN,AGE75-79,FMLE,0.075632
1990,AUT,AGE50-54,MLE,0.006755
1990,KAZ,AGE45-49,MLE,0.01138
1990,JPN,AGE45-49,FMLE,0.001663
2000,PNG,AGE10-14,MLE,0.001517
1990,KAZ,AGE80-84,MLE,0.13501
2012,IRQ,AGE1-4,MLE,0.001729
2000,JPN,AGE5-9,FMLE,0.000103
2013,ARE,AGE15-19,FMLE,0.000286
2012,GUY,AGE40-44,MLE,0.009627
1990,MUS,AGE80-84,FMLE,0.098229
2013,HRV,AGE65-69,FMLE,0.012106
2012,,AGELT1,FMLE,0.011694
2012,SUR,AGE95-99,MLE,0.343585
1990,FIN,AGELT1,MLE,0.006119
1990,MRT,AGE1-4,FMLE,0.013
1990,CHE,AGE100PLUS,MLE,0.486949
2012,KGZ,AGE35-39,FMLE,0.002012
2000,MHL,AGE15-19,FMLE,0.001
1990,SYR,AGE100PLUS,FMLE,0.550877
2013,BRA,AGE45-49,FMLE,0.002992
1990,,AGE85-89,MLE,0.268246
1990,SUR,AGE50-54,MLE,0.009476
2000,OMN,AGE55-59,FMLE,0.008784
1990,TCD,AGE45-49,MLE,0.018034
2000,OMN,AGE20-24,FMLE,0.000767
2013,,AGE25-29,FMLE,0.000591
2013,,AGE75-79,FMLE,0.074424
2012,ZWE,AGE1-4,FMLE,0.009126
1990,VNM,AGE30-34,MLE,0.003
2012,SEN,AGE40-44,MLE,0.005634
2013,MKD,AGE45-49,FMLE,0.001961
1990,VNM,AGE50-54,MLE,0.008834
2013,TCD,AGE70-74,FMLE,0.062896
2012,KGZ,AGE15-19,MLE,0.000773
2012,AUT,AGE95-99,MLE,0.345037
2013,GUY,AGE100PLUS,FMLE,0.53106
2013,SEN,AGE10-14,MLE,0.001299
2013,KEN,AGE85-89,FMLE,0.203048
1990,JPN,AGE25-29,MLE,0.000723
2012,VNM,AGE70-74,FMLE,0.021556
1990,KAZ,AGE100PLUS,FMLE,0.412926
