GHO,GBDCHILDCAUSES,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_300,CH6,PUBLISHED,2006,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2006,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2002,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,EMR,ARE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2004,EMR,ARE,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,EMR,ARE,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2008,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2003,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2005,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2001,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2010,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2013,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2012,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2007,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2011,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2000,AMR,ARG,DAYS0-27,BTSX,,0,0,,,
MORT_300,CH6,PUBLISHED,2009,AMR,ARG,YEARS0-4,BTSX,,0,0,,,
