iso_code,year,rateofoutofschoolMF
CPV,1986,4.29808
CPV,1987,2.8889
CPV,1988,0.39439
CPV,1990,0.84349
CPV,1994,0.86664
CPV,1998,0.19064
CPV,2000,2.3032
CPV,2001,4.59697
CPV,2002,4.92728
CPV,2003,5.41554
CPV,2004,7.03539
CPV,2005,7.25556
CPV,2006,7.57609
CPV,2007,7.56191
CPV,2008,7.49439
CPV,2009,6.36646
CPV,2010,4.75405
CPV,2011,3.29014
CPV,2012,1.57235
CPV,2013,1.58334
CPV,2014,1.7575
GUY,1971,14.99196
GUY,1972,14.63787
GUY,1974,10.46264
GUY,1976,9.10292
GUY,1977,2.112
GUY,1979,5.44446
GUY,1982,9.9652
GUY,1991,3.97757
GUY,1992,5.42728
GUY,1993,5.10352
GUY,1995,5.29646
GUY,1996,8.81588
GUY,2003,7.65546
GUY,2008,10.81652
GUY,2009,17.33858
GUY,2010,15.33029
GUY,2011,14.01608
GUY,2012,14.97034
GHA,1999,37.90587
GHA,2000,34.37889
GHA,2001,39.80814
GHA,2002,37.30465
GHA,2003,38.40691
GHA,2004,40.39301
GHA,2005,33.49165
GHA,2006,33.9416
GHA,2007,27.61285
GHA,2008,22.09056
GHA,2009,23.52315
GHA,2011,16.14992
GHA,2012,17.81141
GHA,2013,13.16834
GHA,2014,10.68771
GHA,2015,8.08557
LKA,1977,21.51948
LKA,1986,1.68326
LKA,2001,0.11899
LKA,2002,0.07527
LKA,2003,0.38327
LKA,2004,3.1519
LKA,2005,2.74709
LKA,2006,3.27158
LKA,2007,3.6331
LKA,2008,4.45721
LKA,2009,6.62603
LKA,2010,4.95585
LKA,2011,4.81192
LKA,2012,4.62873
LKA,2013,3.48766
LKA,2014,2.66622
USA,1975,18.71993
USA,1986,6.73235
USA,1987,5.04913
USA,1990,1.95128
USA,1991,1.99791
USA,1993,3.95556
USA,1994,4.33759
USA,1995,2.95913
USA,1996,3.53712
USA,1999,2.48611
USA,2000,2.38313
USA,2001,2.68848
USA,2002,3.99674
USA,2003,4.46477
USA,2004,5.56375
USA,2005,4.72567
USA,2006,3.7471
USA,2007,2.82772
USA,2008,2.51425
USA,2009,3.9687
USA,2010,5.20418
USA,2011,6.05536
USA,2012,5.89063
USA,2013,7.22291
GRC,1971,2.7802
GRC,1972,2.57269
GRC,1973,2.14974
GRC,1974,1.57002
GRC,1975,2.37429
GRC,1976,3.10363
GRC,1977,4.16533
GRC,1978,4.87744
GRC,1979,5.35035
GRC,1980,6.03914
GRC,1981,3.20963
GRC,1982,1.93303
GRC,1983,0.40831
GRC,1984,0.44048
GRC,1985,0.48552
