GHO,GBDCHILDCAUSES,PUBLISHSTATE,year,region,code,agegroup,SEX,MGHEREG,Display Value,Numeric,Low,High,Comments
MORT_300,CH5,PUBLISHED,2010,AFR,KEN,MONTHS1-59,BTSX,,0,0.01031,,,
MORT_300,CH5,PUBLISHED,2002,AMR,PER,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,SEAR,MMR,MONTHS1-59,BTSX,,0,0.02251,,,
MORT_300,CH5,PUBLISHED,2004,AMR,LCA,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2003,EUR,LUX,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2009,AMR,GUY,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2005,,,MONTHS1-59,BTSX,REG6_AMR,0,0.00768,,,
MORT_300,CH5,PUBLISHED,2009,,,MONTHS1-59,BTSX,MDG_WAS,0,0.02854,,,
MORT_300,CH5,PUBLISHED,2002,AMR,SLV,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2004,WPR,CHN,MONTHS1-59,BTSX,,0,0.02798,,,
MORT_300,CH5,PUBLISHED,2005,AFR,MUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2009,EUR,RUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,EUR,CHE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2005,EUR,LTU,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,AFR,MUS,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2005,EUR,TJK,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2013,AFR,CMR,MONTHS1-59,BTSX,,0,0.0091,,,
MORT_300,CH5,PUBLISHED,2009,EUR,NLD,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2011,AMR,BRB,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2008,,,MONTHS1-59,BTSX,REG6_AFR,0,0.01319,,,
MORT_300,CH5,PUBLISHED,2005,AMR,DOM,MONTHS1-59,BTSX,,0,0.04651,,,
MORT_300,CH5,PUBLISHED,2000,AFR,ETH,MONTHS1-59,BTSX,,0,0.03008,,,
MORT_300,CH5,PUBLISHED,2010,EUR,FIN,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2004,EUR,ISL,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2000,EMR,SYR,MONTHS1-59,BTSX,,0.1,0.09513,,,
MORT_300,CH5,PUBLISHED,2011,WPR,TUV,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2012,EMR,SAU,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2003,AFR,BDI,MONTHS1-59,BTSX,,0,0.00423,,,
MORT_300,CH5,PUBLISHED,2009,WPR,PNG,MONTHS1-59,BTSX,,0,0.01796,,,
MORT_300,CH5,PUBLISHED,2011,WPR,NIU,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2007,AFR,SSD,MONTHS1-59,BTSX,,0,0.00263,,,
MORT_300,CH5,PUBLISHED,2003,EUR,MLT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2010,EUR,PRT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2012,AMR,COL,MONTHS1-59,BTSX,,0,0.00915,,,
MORT_300,CH5,PUBLISHED,2000,EMR,KWT,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2013,EUR,SMR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2002,AFR,CIV,MONTHS1-59,BTSX,,0,0.01501,,,
MORT_300,CH5,PUBLISHED,2005,EMR,BHR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2013,AFR,MRT,MONTHS1-59,BTSX,,0,0.01384,,,
MORT_300,CH5,PUBLISHED,2006,AMR,GRD,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2005,EUR,AZE,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2009,AFR,BDI,MONTHS1-59,BTSX,,0,0.00427,,,
MORT_300,CH5,PUBLISHED,2001,EUR,BGR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2004,AFR,NER,MONTHS1-59,BTSX,,0,0.01365,,,
MORT_300,CH5,PUBLISHED,2000,,,MONTHS1-59,BTSX,WBINC_LOINC,0,0.01776,,,
MORT_300,CH5,PUBLISHED,2007,,,MONTHS1-59,BTSX,UNICEF_EAPRO,0,0.02428,,,
MORT_300,CH5,PUBLISHED,2007,,,MONTHS1-59,BTSX,WBINC_LOINC,0,0.01492,,,
MORT_300,CH5,PUBLISHED,2000,WPR,TON,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2012,EMR,IRQ,MONTHS1-59,BTSX,,0,0.04745,,,
MORT_300,CH5,PUBLISHED,2006,EUR,MKD,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2009,EMR,LBN,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,EUR,POL,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2010,,,MONTHS1-59,BTSX,MDG_CCA,0,0,,,
MORT_300,CH5,PUBLISHED,2003,EUR,NLD,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2010,AFR,GHA,MONTHS1-59,BTSX,,0,0.00689,,,
MORT_300,CH5,PUBLISHED,2005,WPR,NIU,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2004,EUR,FIN,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2007,AMR,ARG,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2000,EUR,BLR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2004,EUR,MCO,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2004,,,MONTHS1-59,BTSX,WBINC_LMINC,0,0.02296,,,
MORT_300,CH5,PUBLISHED,2002,EUR,GRC,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2010,EUR,ISL,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2012,AMR,GRD,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2005,,,MONTHS1-59,BTSX,MDG_SOA,0,0.02564,,,
MORT_300,CH5,PUBLISHED,2011,EUR,LTU,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2002,AFR,UGA,MONTHS1-59,BTSX,,0,0.0126,,,
MORT_300,CH5,PUBLISHED,2000,AFR,ZMB,MONTHS1-59,BTSX,,0,0.01353,,,
MORT_300,CH5,PUBLISHED,2013,EMR,IRN,MONTHS1-59,BTSX,,0,0.0084,,,
MORT_300,CH5,PUBLISHED,2011,EUR,SMR,MONTHS1-59,BTSX,,0,0,,,
MORT_300,CH5,PUBLISHED,2001,AFR,UGA,MONTHS1-59,BTSX,,0,0.01349,,,
MORT_300,CH5,PUBLISHED,2007,AFR,RWA,MONTHS1-59,BTSX,,0,0.00218,,,
