region,code,country,diptheria2014,diptheria2013,diptheria2012,diptheria2011,diptheria2010,diptheria2009,diptheria2008,diptheria2007,diptheria2006,diptheria2005,diptheria2004,diptheria2003,diptheria2002,diptheria2001,diptheria2000,diptheria1999,diptheria1998,diptheria1997,diptheria1996,diptheria1995,diptheria1994,diptheria1993,diptheria1992,diptheria1991,diptheria1990,diptheria1989,diptheria1988,diptheria1987,diptheria1986,diptheria1985,diptheria1984,diptheria1983,diptheria1982,diptheria1981,diptheria1980
EUR,MKD,The former Yugoslav Republic of Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,
SEAR,TLS,Timor-Leste,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
AFR,TGO,Togo,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPR,TON,Tonga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,TTO,Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,0
EMR,TUN,Tunisia,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,2,4,2,2,4,7
EUR,TUR,Turkey,0,0,0,1,0,0,0,0,0,0,0,1,2,5,4,4,6,2,22,4,49,49,8,16,20,17,11,26,36,145,155,361,131,136,86
EUR,TKM,Turkmenistan,0,0,1,2,2,5,11,5,3,2,2,2,1,2,30,49,18,38,80,87,60,3,22,4,4,,,,,,,,,,
WPR,TUV,Tuvalu,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,61,,0,0,0,0,0,0,0,0,0,0
AFR,UGA,Uganda,,,,,,,,,,0,,,0,,,0,0,,,,,,,,95,78,4,,,,,0,3,32,181
EUR,UKR,Ukraine,,,5,8,17,,61,81,68,98,123,158,285,283,365,375,706,1364,3159,5277,3003,2976,1553,1103,109,,,,,,,,,,
EMR,ARE,United Arab Emirates (the),0,,0,,1,,0,,,0,0,0,0,0,0,1,0,0,0,0,2,3,7,9,0,4,15,12,26,12,12,2,1,3,20
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),0,1,0,2,0,3,5,3,3,0,0,3,6,4,2,,0,,4,1,4,5,3,1,2,2,2,2,4,4,4,4,4,2,5
AFR,TZA,United Republic of Tanzania,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,5,5,160,4
AMR,USA,United States of America (the),1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,5,2,0,2,0,4,5,4,3,2,3,0,3,1,5,2,5,3
AMR,URY,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,UZB,Uzbekistan,0,0,,0,0,0,0,0,0,0,0,0,0,0,4,5,4,28,163,638,232,137,29,16,12,,,,,,,,,,
WPR,VUT,Vanuatu,,0,0,0,0,0,0,0,,,,,5,,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,VEN,Venezuela (Bolivarian Republic of),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,30,22,12,31,24,21,23,50,31
WPR,VNM,Viet Nam,16,11,12,13,6,8,17,32,25,36,49,105,105,133,113,81,130,152,143,167,166,167,497,511,509,639,983,1827,1974,2361,2389,3487,2921,2688,1730
EMR,YEM,Yemen,,7,0,2,7,0,5,10,36,8,2,,,,,3,24,,,54,6,,269,1,,4615,310,376,244,981,997,981,555,284,555
AFR,ZMB,Zambia,,0,0,0,0,0,3,0,7,11,4,31,25,50,0,68,,0,,,,,,,4,52,22,14,19,35,16,27,19,29,12
AFR,ZWE,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,19,0,0,1,0,0,0,0,12,4,27,25,13,7,8
