year,region,code,AGEGROUP,SEX,Display Value,Numeric
2001,SEAR,BTN,DAYS0-27,BTSX,0,0
2012,SEAR,BTN,DAYS0-27,BTSX,0,0
2007,SEAR,BTN,DAYS0-27,BTSX,0,0
2000,SEAR,BTN,DAYS0-27,BTSX,0,0
2013,SEAR,BTN,DAYS0-27,BTSX,0,0
2003,SEAR,BTN,DAYS0-27,BTSX,0,0
2002,SEAR,BTN,DAYS0-27,BTSX,0,0
2006,SEAR,BTN,DAYS0-27,BTSX,0,0
2010,AFR,BWA,DAYS0-27,BTSX,0,0
2003,AFR,BWA,DAYS0-27,BTSX,0,0
2009,AFR,BWA,DAYS0-27,BTSX,0,0
2002,AFR,BWA,DAYS0-27,BTSX,0,0
2008,AFR,BWA,DAYS0-27,BTSX,0,0
2005,AFR,BWA,DAYS0-27,BTSX,0,0
2013,AFR,BWA,DAYS0-27,BTSX,0,0
2006,AFR,BWA,DAYS0-27,BTSX,0,0
2001,AFR,BWA,DAYS0-27,BTSX,0,0
2000,AFR,BWA,DAYS0-27,BTSX,0,0
2004,AFR,BWA,DAYS0-27,BTSX,0,0
2011,AFR,BWA,DAYS0-27,BTSX,0,0
2007,AFR,BWA,DAYS0-27,BTSX,0,0
2012,AFR,BWA,DAYS0-27,BTSX,0,0
2002,AFR,CAF,DAYS0-27,BTSX,0.1,0.11754
2008,AFR,CAF,DAYS0-27,BTSX,0.1,0.12177
2007,AFR,CAF,DAYS0-27,BTSX,0.1,0.12086
2013,AFR,CAF,DAYS0-27,BTSX,0.1,0.13844
2001,AFR,CAF,DAYS0-27,BTSX,0.1,0.11801
2000,AFR,CAF,DAYS0-27,BTSX,0.1,0.11923
2011,AFR,CAF,DAYS0-27,BTSX,0.1,0.12223
2010,AFR,CAF,DAYS0-27,BTSX,0.1,0.12242
2012,AFR,CAF,DAYS0-27,BTSX,0.1,0.13686
2003,AFR,CAF,DAYS0-27,BTSX,0.1,0.11813
2009,AFR,CAF,DAYS0-27,BTSX,0.1,0.12232
2004,AFR,CAF,DAYS0-27,BTSX,0.1,0.11859
2006,AFR,CAF,DAYS0-27,BTSX,0.1,0.11983
2005,AFR,CAF,DAYS0-27,BTSX,0.1,0.11887
2013,AMR,CAN,DAYS0-27,BTSX,0.1,0.14593
2012,AMR,CAN,DAYS0-27,BTSX,0.1,0.14588
